,IDV,SUBPOP,ANC
a.chromsome.0,a.0,a,b
a.chromsome.1,a.0,a,a
a.chromsome.2,a.1,a,b
a.chromsome.3,a.1,a,a
a.chromsome.4,a.2,a,a
a.chromsome.5,a.2,a,b
a.chromsome.6,a.3,a,a
a.chromsome.7,a.3,a,b
a.chromsome.8,a.4,a,a
a.chromsome.9,a.4,a,a
b.chromsome.0,b.0,b,a
b.chromsome.1,b.0,b,a
b.chromsome.2,b.1,b,b
b.chromsome.3,b.1,b,a
b.chromsome.4,b.2,b,b
b.chromsome.5,b.2,b,a
b.chromsome.6,b.3,b,a
b.chromsome.7,b.3,b,a
b.chromsome.8,b.4,b,b
b.chromsome.9,b.4,b,b
c.chromsome.0,c.0,c,b
c.chromsome.1,c.0,c,a
c.chromsome.2,c.1,c,a
c.chromsome.3,c.1,c,a
c.chromsome.4,c.2,c,b
c.chromsome.5,c.2,c,a
c.chromsome.6,c.3,c,b
c.chromsome.7,c.3,c,a
c.chromsome.8,c.4,c,a
c.chromsome.9,c.4,c,b
d.chromsome.0,d.0,d,a
d.chromsome.1,d.0,d,a
d.chromsome.2,d.1,d,b
d.chromsome.3,d.1,d,b
d.chromsome.4,d.2,d,b
d.chromsome.5,d.2,d,a
d.chromsome.6,d.3,d,a
d.chromsome.7,d.3,d,a
d.chromsome.8,d.4,d,b
d.chromsome.9,d.4,d,a
