,IDV,SUBPOP,ANC
b.chromsome.87,b.43,b,b
b.chromsome.88,b.44,b,b
b.chromsome.89,b.44,b,a
b.chromsome.90,b.45,b,a
b.chromsome.91,b.45,b,b
b.chromsome.92,b.46,b,b
b.chromsome.93,b.46,b,d
b.chromsome.94,b.47,b,a
b.chromsome.95,b.47,b,c
b.chromsome.96,b.48,b,c
b.chromsome.97,b.48,b,b
b.chromsome.98,b.49,b,b
b.chromsome.99,b.49,b,c
c.chromsome.0,c.0,c,a
c.chromsome.1,c.0,c,c
c.chromsome.2,c.1,c,c
c.chromsome.3,c.1,c,a
c.chromsome.4,c.2,c,a
c.chromsome.5,c.2,c,c
c.chromsome.6,c.3,c,a
c.chromsome.7,c.3,c,c
c.chromsome.8,c.4,c,a
c.chromsome.9,c.4,c,c
c.chromsome.10,c.5,c,c
c.chromsome.11,c.5,c,c
c.chromsome.12,c.6,c,a
c.chromsome.13,c.6,c,c
c.chromsome.14,c.7,c,a
c.chromsome.15,c.7,c,d
c.chromsome.16,c.8,c,d
c.chromsome.17,c.8,c,b
c.chromsome.18,c.9,c,d
c.chromsome.19,c.9,c,a
c.chromsome.20,c.10,c,c
c.chromsome.21,c.10,c,c
c.chromsome.22,c.11,c,c
c.chromsome.23,c.11,c,a
c.chromsome.24,c.12,c,c
c.chromsome.25,c.12,c,a
c.chromsome.26,c.13,c,c
c.chromsome.27,c.13,c,a
c.chromsome.28,c.14,c,a
c.chromsome.29,c.14,c,c
c.chromsome.30,c.15,c,d
c.chromsome.31,c.15,c,c
c.chromsome.32,c.16,c,c
c.chromsome.33,c.16,c,b
c.chromsome.34,c.17,c,c
c.chromsome.35,c.17,c,c
c.chromsome.36,c.18,c,a
c.chromsome.37,c.18,c,c
c.chromsome.38,c.19,c,c
c.chromsome.39,c.19,c,a
c.chromsome.40,c.20,c,c
c.chromsome.41,c.20,c,c
c.chromsome.42,c.21,c,c
c.chromsome.43,c.21,c,c
c.chromsome.44,c.22,c,a
c.chromsome.45,c.22,c,a
c.chromsome.46,c.23,c,d
c.chromsome.47,c.23,c,c
c.chromsome.48,c.24,c,a
