,IDV,SUBPOP,ANC
c.chromsome.57,c.28,c,c
c.chromsome.58,c.29,c,c
c.chromsome.59,c.29,c,c
c.chromsome.60,c.30,c,c
c.chromsome.61,c.30,c,c
c.chromsome.62,c.31,c,c
c.chromsome.63,c.31,c,c
c.chromsome.64,c.32,c,c
c.chromsome.65,c.32,c,c
c.chromsome.66,c.33,c,c
c.chromsome.67,c.33,c,c
c.chromsome.68,c.34,c,c
c.chromsome.69,c.34,c,c
c.chromsome.70,c.35,c,c
c.chromsome.71,c.35,c,c
c.chromsome.72,c.36,c,c
c.chromsome.73,c.36,c,c
c.chromsome.74,c.37,c,c
c.chromsome.75,c.37,c,c
c.chromsome.76,c.38,c,c
c.chromsome.77,c.38,c,c
c.chromsome.78,c.39,c,c
c.chromsome.79,c.39,c,c
c.chromsome.80,c.40,c,c
c.chromsome.81,c.40,c,c
c.chromsome.82,c.41,c,c
c.chromsome.83,c.41,c,c
c.chromsome.84,c.42,c,c
c.chromsome.85,c.42,c,c
c.chromsome.86,c.43,c,c
c.chromsome.87,c.43,c,c
c.chromsome.88,c.44,c,c
c.chromsome.89,c.44,c,c
c.chromsome.90,c.45,c,c
c.chromsome.91,c.45,c,c
c.chromsome.92,c.46,c,c
c.chromsome.93,c.46,c,c
c.chromsome.94,c.47,c,c
c.chromsome.95,c.47,c,c
c.chromsome.96,c.48,c,c
c.chromsome.97,c.48,c,c
c.chromsome.98,c.49,c,c
c.chromsome.99,c.49,c,c
d.chromsome.0,d.0,d,c
d.chromsome.1,d.0,d,c
d.chromsome.2,d.1,d,c
d.chromsome.3,d.1,d,c
d.chromsome.4,d.2,d,c
d.chromsome.5,d.2,d,c
d.chromsome.6,d.3,d,c
d.chromsome.7,d.3,d,c
d.chromsome.8,d.4,d,c
d.chromsome.9,d.4,d,c
d.chromsome.10,d.5,d,c
d.chromsome.11,d.5,d,c
d.chromsome.12,d.6,d,c
d.chromsome.13,d.6,d,c
d.chromsome.14,d.7,d,c
d.chromsome.15,d.7,d,c
d.chromsome.16,d.8,d,c
d.chromsome.17,d.8,d,c
d.chromsome.18,d.9,d,c
d.chromsome.19,d.9,d,c
d.chromsome.20,d.10,d,c
d.chromsome.21,d.10,d,c
d.chromsome.22,d.11,d,c
d.chromsome.23,d.11,d,c
d.chromsome.24,d.12,d,c
d.chromsome.25,d.12,d,c
d.chromsome.26,d.13,d,c
d.chromsome.27,d.13,d,c
d.chromsome.28,d.14,d,c
d.chromsome.29,d.14,d,c
d.chromsome.30,d.15,d,c
d.chromsome.31,d.15,d,c
d.chromsome.32,d.16,d,c
d.chromsome.33,d.16,d,c
d.chromsome.34,d.17,d,c
d.chromsome.35,d.17,d,c
d.chromsome.36,d.18,d,c
d.chromsome.37,d.18,d,c
d.chromsome.38,d.19,d,c
d.chromsome.39,d.19,d,c
d.chromsome.40,d.20,d,c
d.chromsome.41,d.20,d,c
d.chromsome.42,d.21,d,c
d.chromsome.43,d.21,d,c
d.chromsome.44,d.22,d,c
d.chromsome.45,d.22,d,c
d.chromsome.46,d.23,d,c
d.chromsome.47,d.23,d,c
d.chromsome.48,d.24,d,c
d.chromsome.49,d.24,d,c
d.chromsome.50,d.25,d,c
d.chromsome.51,d.25,d,c
d.chromsome.52,d.26,d,c
d.chromsome.53,d.26,d,c
d.chromsome.54,d.27,d,c
d.chromsome.55,d.27,d,c
d.chromsome.56,d.28,d,c
d.chromsome.57,d.28,d,c
d.chromsome.58,d.29,d,c
d.chromsome.59,d.29,d,c
d.chromsome.60,d.30,d,c
d.chromsome.61,d.30,d,c
d.chromsome.62,d.31,d,c
d.chromsome.63,d.31,d,c
d.chromsome.64,d.32,d,c
d.chromsome.65,d.32,d,c
d.chromsome.66,d.33,d,c
d.chromsome.67,d.33,d,c
d.chromsome.68,d.34,d,c
d.chromsome.69,d.34,d,c
d.chromsome.70,d.35,d,c
d.chromsome.71,d.35,d,c
d.chromsome.72,d.36,d,c
d.chromsome.73,d.36,d,c
d.chromsome.74,d.37,d,c
d.chromsome.75,d.37,d,c
d.chromsome.76,d.38,d,c
d.chromsome.77,d.38,d,c
d.chromsome.78,d.39,d,c
d.chromsome.79,d.39,d,c
d.chromsome.80,d.40,d,c
d.chromsome.81,d.40,d,c
d.chromsome.82,d.41,d,c
d.chromsome.83,d.41,d,c
d.chromsome.84,d.42,d,c
d.chromsome.85,d.42,d,c
d.chromsome.86,d.43,d,c
d.chromsome.87,d.43,d,c
d.chromsome.88,d.44,d,c
d.chromsome.89,d.44,d,c
d.chromsome.90,d.45,d,c
d.chromsome.91,d.45,d,c
d.chromsome.92,d.46,d,c
d.chromsome.93,d.46,d,c
d.chromsome.94,d.47,d,c
d.chromsome.95,d.47,d,c
d.chromsome.96,d.48,d,c
d.chromsome.97,d.48,d,c
d.chromsome.98,d.49,d,c
d.chromsome.99,d.49,d,c
