,IDV,SUBPOP,ANC
a.chromsome.0,a.0,a,c
a.chromsome.1,a.0,a,c
a.chromsome.2,a.1,a,d
a.chromsome.3,a.1,a,b
a.chromsome.4,a.2,a,a
a.chromsome.5,a.2,a,a
a.chromsome.6,a.3,a,c
a.chromsome.7,a.3,a,b
a.chromsome.8,a.4,a,c
a.chromsome.9,a.4,a,c
a.chromsome.10,a.5,a,a
a.chromsome.11,a.5,a,a
a.chromsome.12,a.6,a,c
a.chromsome.13,a.6,a,d
a.chromsome.14,a.7,a,a
a.chromsome.15,a.7,a,d
a.chromsome.16,a.8,a,a
a.chromsome.17,a.8,a,a
a.chromsome.18,a.9,a,a
a.chromsome.19,a.9,a,a
a.chromsome.20,a.10,a,b
a.chromsome.21,a.10,a,a
a.chromsome.22,a.11,a,a
a.chromsome.23,a.11,a,c
a.chromsome.24,a.12,a,c
a.chromsome.25,a.12,a,d
a.chromsome.26,a.13,a,b
a.chromsome.27,a.13,a,b
a.chromsome.28,a.14,a,c
a.chromsome.29,a.14,a,b
a.chromsome.30,a.15,a,a
a.chromsome.31,a.15,a,a
a.chromsome.32,a.16,a,d
a.chromsome.33,a.16,a,a
a.chromsome.34,a.17,a,c
a.chromsome.35,a.17,a,c
a.chromsome.36,a.18,a,a
a.chromsome.37,a.18,a,a
a.chromsome.38,a.19,a,d
a.chromsome.39,a.19,a,c
a.chromsome.40,a.20,a,a
a.chromsome.41,a.20,a,c
a.chromsome.42,a.21,a,b
a.chromsome.43,a.21,a,a
a.chromsome.44,a.22,a,d
a.chromsome.45,a.22,a,a
a.chromsome.46,a.23,a,a
a.chromsome.47,a.23,a,a
a.chromsome.48,a.24,a,b
a.chromsome.49,a.24,a,b
a.chromsome.50,a.25,a,a
a.chromsome.51,a.25,a,c
a.chromsome.52,a.26,a,a
a.chromsome.53,a.26,a,c
a.chromsome.54,a.27,a,a
a.chromsome.55,a.27,a,a
a.chromsome.56,a.28,a,b
a.chromsome.57,a.28,a,a
a.chromsome.58,a.29,a,d
a.chromsome.59,a.29,a,a
a.chromsome.60,a.30,a,a
a.chromsome.61,a.30,a,a
a.chromsome.62,a.31,a,b
a.chromsome.63,a.31,a,a
a.chromsome.64,a.32,a,c
a.chromsome.65,a.32,a,b
a.chromsome.66,a.33,a,a
a.chromsome.67,a.33,a,b
a.chromsome.68,a.34,a,a
a.chromsome.69,a.34,a,a
a.chromsome.70,a.35,a,a
a.chromsome.71,a.35,a,a
a.chromsome.72,a.36,a,a
a.chromsome.73,a.36,a,a
a.chromsome.74,a.37,a,d
a.chromsome.75,a.37,a,b
a.chromsome.76,a.38,a,a
a.chromsome.77,a.38,a,a
a.chromsome.78,a.39,a,b
a.chromsome.79,a.39,a,a
a.chromsome.80,a.40,a,a
a.chromsome.81,a.40,a,c
a.chromsome.82,a.41,a,a
a.chromsome.83,a.41,a,a
a.chromsome.84,a.42,a,a
a.chromsome.85,a.42,a,d
a.chromsome.86,a.43,a,a
a.chromsome.87,a.43,a,a
a.chromsome.88,a.44,a,a
a.chromsome.89,a.44,a,c
a.chromsome.90,a.45,a,d
a.chromsome.91,a.45,a,a
a.chromsome.92,a.46,a,b
a.chromsome.93,a.46,a,b
a.chromsome.94,a.47,a,d
a.chromsome.95,a.47,a,d
a.chromsome.96,a.48,a,b
a.chromsome.97,a.48,a,c
a.chromsome.98,a.49,a,c
a.chromsome.99,a.49,a,a
a.chromsome.100,a.50,a,a
a.chromsome.101,a.50,a,c
a.chromsome.102,a.51,a,b
a.chromsome.103,a.51,a,a
a.chromsome.104,a.52,a,c
a.chromsome.105,a.52,a,a
a.chromsome.106,a.53,a,a
a.chromsome.107,a.53,a,a
a.chromsome.108,a.54,a,d
a.chromsome.109,a.54,a,d
a.chromsome.110,a.55,a,c
a.chromsome.111,a.55,a,b
a.chromsome.112,a.56,a,a
a.chromsome.113,a.56,a,a
a.chromsome.114,a.57,a,a
a.chromsome.115,a.57,a,a
a.chromsome.116,a.58,a,c
a.chromsome.117,a.58,a,b
a.chromsome.118,a.59,a,a
a.chromsome.119,a.59,a,d
a.chromsome.120,a.60,a,a
a.chromsome.121,a.60,a,b
a.chromsome.122,a.61,a,c
a.chromsome.123,a.61,a,a
a.chromsome.124,a.62,a,b
a.chromsome.125,a.62,a,a
a.chromsome.126,a.63,a,a
a.chromsome.127,a.63,a,a
a.chromsome.128,a.64,a,d
a.chromsome.129,a.64,a,a
a.chromsome.130,a.65,a,a
a.chromsome.131,a.65,a,b
a.chromsome.132,a.66,a,a
a.chromsome.133,a.66,a,c
a.chromsome.134,a.67,a,b
a.chromsome.135,a.67,a,b
a.chromsome.136,a.68,a,b
a.chromsome.137,a.68,a,a
a.chromsome.138,a.69,a,a
a.chromsome.139,a.69,a,a
a.chromsome.140,a.70,a,d
a.chromsome.141,a.70,a,a
a.chromsome.142,a.71,a,b
a.chromsome.143,a.71,a,a
a.chromsome.144,a.72,a,b
a.chromsome.145,a.72,a,a
a.chromsome.146,a.73,a,a
a.chromsome.147,a.73,a,a
a.chromsome.148,a.74,a,a
a.chromsome.149,a.74,a,a
a.chromsome.150,a.75,a,c
a.chromsome.151,a.75,a,a
a.chromsome.152,a.76,a,a
a.chromsome.153,a.76,a,a
a.chromsome.154,a.77,a,b
a.chromsome.155,a.77,a,d
a.chromsome.156,a.78,a,d
a.chromsome.157,a.78,a,d
a.chromsome.158,a.79,a,b
a.chromsome.159,a.79,a,c
a.chromsome.160,a.80,a,a
a.chromsome.161,a.80,a,c
a.chromsome.162,a.81,a,a
a.chromsome.163,a.81,a,d
a.chromsome.164,a.82,a,c
a.chromsome.165,a.82,a,a
a.chromsome.166,a.83,a,a
a.chromsome.167,a.83,a,d
a.chromsome.168,a.84,a,a
a.chromsome.169,a.84,a,a
a.chromsome.170,a.85,a,a
a.chromsome.171,a.85,a,b
a.chromsome.172,a.86,a,c
a.chromsome.173,a.86,a,a
a.chromsome.174,a.87,a,d
a.chromsome.175,a.87,a,b
a.chromsome.176,a.88,a,b
a.chromsome.177,a.88,a,a
a.chromsome.178,a.89,a,a
a.chromsome.179,a.89,a,a
a.chromsome.180,a.90,a,a
a.chromsome.181,a.90,a,a
a.chromsome.182,a.91,a,a
a.chromsome.183,a.91,a,a
