,IDV,SUBPOP,ANC
a.chromsome.0,a.0,a,d
a.chromsome.1,a.0,a,d
a.chromsome.2,a.1,a,b
a.chromsome.3,a.1,a,d
a.chromsome.4,a.2,a,d
a.chromsome.5,a.2,a,b
a.chromsome.6,a.3,a,b
a.chromsome.7,a.3,a,a
a.chromsome.8,a.4,a,a
a.chromsome.9,a.4,a,d
a.chromsome.10,a.5,a,d
a.chromsome.11,a.5,a,d
a.chromsome.12,a.6,a,c
a.chromsome.13,a.6,a,a
a.chromsome.14,a.7,a,d
a.chromsome.15,a.7,a,a
a.chromsome.16,a.8,a,d
a.chromsome.17,a.8,a,a
a.chromsome.18,a.9,a,b
a.chromsome.19,a.9,a,d
a.chromsome.20,a.10,a,c
a.chromsome.21,a.10,a,a
a.chromsome.22,a.11,a,d
a.chromsome.23,a.11,a,d
a.chromsome.24,a.12,a,a
a.chromsome.25,a.12,a,a
a.chromsome.26,a.13,a,b
a.chromsome.27,a.13,a,c
a.chromsome.28,a.14,a,d
a.chromsome.29,a.14,a,a
a.chromsome.30,a.15,a,d
a.chromsome.31,a.15,a,d
a.chromsome.32,a.16,a,d
a.chromsome.33,a.16,a,a
a.chromsome.34,a.17,a,a
a.chromsome.35,a.17,a,d
a.chromsome.36,a.18,a,d
a.chromsome.37,a.18,a,d
a.chromsome.38,a.19,a,d
a.chromsome.39,a.19,a,d
a.chromsome.40,a.20,a,d
a.chromsome.41,a.20,a,a
a.chromsome.42,a.21,a,a
a.chromsome.43,a.21,a,a
a.chromsome.44,a.22,a,a
a.chromsome.45,a.22,a,a
a.chromsome.46,a.23,a,d
a.chromsome.47,a.23,a,d
a.chromsome.48,a.24,a,d
a.chromsome.49,a.24,a,d
a.chromsome.50,a.25,a,d
a.chromsome.51,a.25,a,a
a.chromsome.52,a.26,a,b
a.chromsome.53,a.26,a,a
a.chromsome.54,a.27,a,a
a.chromsome.55,a.27,a,a
a.chromsome.56,a.28,a,d
a.chromsome.57,a.28,a,d
a.chromsome.58,a.29,a,d
a.chromsome.59,a.29,a,d
a.chromsome.60,a.30,a,a
a.chromsome.61,a.30,a,d
a.chromsome.62,a.31,a,d
a.chromsome.63,a.31,a,a
a.chromsome.64,a.32,a,d
a.chromsome.65,a.32,a,d
a.chromsome.66,a.33,a,c
a.chromsome.67,a.33,a,a
a.chromsome.68,a.34,a,d
a.chromsome.69,a.34,a,c
a.chromsome.70,a.35,a,d
a.chromsome.71,a.35,a,d
